2025-02-05 05:28:28,993 [main ] INFO  Constant - Copying default configuration to /tmp/dast-component-worker-a6de84d7-15ec-4361-9bff-5b13a12c24dd-a84eae12-47ce-4adc-bdcd-6a07ca4c85b73897930951/output/config.xml
2025-02-05 05:28:29,095 [main ] INFO  Constant - Creating directory /tmp/dast-component-worker-a6de84d7-15ec-4361-9bff-5b13a12c24dd-a84eae12-47ce-4adc-bdcd-6a07ca4c85b73897930951/output/session
2025-02-05 05:28:29,095 [main ] INFO  Constant - Creating directory /tmp/dast-component-worker-a6de84d7-15ec-4361-9bff-5b13a12c24dd-a84eae12-47ce-4adc-bdcd-6a07ca4c85b73897930951/output/dirbuster
2025-02-05 05:28:29,095 [main ] INFO  Constant - Creating directory /tmp/dast-component-worker-a6de84d7-15ec-4361-9bff-5b13a12c24dd-a84eae12-47ce-4adc-bdcd-6a07ca4c85b73897930951/output/fuzzers
2025-02-05 05:28:29,095 [main ] INFO  Constant - Creating directory /tmp/dast-component-worker-a6de84d7-15ec-4361-9bff-5b13a12c24dd-a84eae12-47ce-4adc-bdcd-6a07ca4c85b73897930951/output/plugin
2025-02-05 05:28:29,155 [main ] INFO  CommandLineBootstrap - ZAP D-2024-11-04 started 05/02/2025, 05:28:29 with home: /tmp/dast-component-worker-a6de84d7-15ec-4361-9bff-5b13a12c24dd-a84eae12-47ce-4adc-bdcd-6a07ca4c85b73897930951/output/ cores: 4 maxMemory: 3 GB
2025-02-05 05:28:31,273 [main ] INFO  ExtensionFactory - Installed add-ons: [[id=accessControl, version=11.0.0], [id=alertFilters, version=23.0.0], [id=ascanrules, version=70.0.0], [id=ascanrulesBeta, version=57.0.0], [id=authhelper, version=0.16.0], [id=automation, version=0.44.0], [id=bruteforce, version=17.0.0], [id=callhome, version=0.14.0], [id=commonlib, version=1.29.0], [id=coreLang, version=16.0.0], [id=database, version=0.7.0], [id=diff, version=17.0.0], [id=directorylistv1, version=9.0.0], [id=domxss, version=20.0.0], [id=encoder, version=1.6.0], [id=exim, version=0.13.0], [id=formhandler, version=6.7.0], [id=fuzz, version=13.15.0], [id=gettingStarted, version=19.0.0], [id=graaljs, version=0.9.0], [id=graphql, version=0.26.0], [id=grpc, version=0.3.0], [id=help, version=19.0.0], [id=hud, version=0.20.0], [id=invoke, version=16.0.0], [id=network, version=0.19.0], [id=oast, version=0.21.0], [id=onlineMenu, version=14.0.0], [id=openapi, version=44.0.0], [id=plugnhack, version=14.0.0], [id=postman, version=0.5.0], [id=pscan, version=0.1.0], [id=pscanrules, version=62.0.0], [id=pscanrulesBeta, version=42.0.0], [id=quickstart, version=51.0.0], [id=replacer, version=20.0.0], [id=reports, version=0.35.0], [id=requester, version=7.8.0], [id=retest, version=0.11.0], [id=retire, version=0.42.0], [id=reveal, version=9.0.0], [id=scripts, version=45.8.0], [id=selenium, version=15.31.0], [id=sequence, version=8.0.0], [id=soap, version=24.0.0], [id=spider, version=0.13.0], [id=spiderAjax, version=23.22.0], [id=tips, version=14.0.0], [id=webdriverlinux, version=112.0.0], [id=webdrivermacos, version=112.0.0], [id=webdriverwindows, version=112.0.0], [id=websocket, version=32.0.0], [id=zest, version=48.0.0]]
2025-02-05 05:28:31,274 [main ] INFO  ExtensionFactory - Loading extensions
2025-02-05 05:28:31,547 [main ] INFO  TlsUtils - Using supported SSL/TLS protocols: [TLSv1.2, TLSv1.3]
2025-02-05 05:28:31,826 [main ] INFO  ExtensionFactory - Extensions loaded
2025-02-05 05:28:32,398 [main ] INFO  ExtensionLoader - Initializing Auto-update Extension - Allows ZAP to check for updates
2025-02-05 05:28:32,401 [main ] INFO  ExtensionLoader - Initializing Options Extension - Options Extension
2025-02-05 05:28:32,401 [main ] INFO  ExtensionLoader - Initializing Edit Menu Extension - Edit Menu Extension
2025-02-05 05:28:32,401 [main ] INFO  ExtensionLoader - Initializing API Extension - Provides a rest based API for controlling and accessing ZAP
2025-02-05 05:28:32,407 [main ] INFO  ExtensionLoader - Initializing History Extension - History Extension
2025-02-05 05:28:32,408 [main ] INFO  ExtensionLoader - Initializing ExtensionReveal - Show hidden fields and enable disabled fields
2025-02-05 05:28:32,408 [main ] INFO  ExtensionLoader - Initializing Search Extension - Search messages for strings and regular expressions
2025-02-05 05:28:32,409 [main ] INFO  ExtensionLoader - Initializing Breakpoint Extension - Allows you to intercept and modify requests and responses
2025-02-05 05:28:32,410 [main ] INFO  ExtensionLoader - Initializing Passive Scan Extension - Passive scanner
2025-02-05 05:28:32,424 [main ] INFO  ExtensionLoader - Initializing Alerts Extension - Allows you to view and manage alerts
2025-02-05 05:28:32,425 [main ] INFO  ExtensionLoader - Initializing Active Scan Extension - Active scanner, heavily based on the original Paros active scanner, but with additional tests added
2025-02-05 05:28:32,430 [main ] INFO  ExtensionLoader - Initializing ExtensionSequence - ExtensionSequence
2025-02-05 05:28:32,430 [main ] INFO  ExtensionLoader - Initializing Standard Menus Extension - A set of common popup menus for miscellaneous tasks
2025-02-05 05:28:32,430 [main ] INFO  ExtensionLoader - Initializing ExtensionBruteForce - Forced browsing of files and directories using code from the OWASP DirBuster tool
2025-02-05 05:28:32,431 [main ] INFO  ExtensionLoader - Initializing Compare Extension - Compares 2 sessions and generates an HTML file showing the differences
2025-02-05 05:28:32,431 [main ] INFO  ExtensionLoader - Initializing ExtensionInvoke - Invoke external applications passing context related information such as URLs and parameters
2025-02-05 05:28:32,432 [main ] INFO  ExtensionLoader - Initializing Anti-CSRF Extension - Handles anti cross site request forgery (CSRF) tokens
2025-02-05 05:28:32,434 [main ] INFO  ExtensionLoader - Initializing Authentication Extension - Authentication Extension
2025-02-05 05:28:32,440 [main ] INFO  ExtensionAuthentication - Loaded authentication method types: [Form-based Authentication, HTTP/NTLM Authentication, Manual Authentication, Script-based Authentication, JSON-based Authentication]
2025-02-05 05:28:32,442 [main ] INFO  ExtensionLoader - Initializing Users Extension - Users Extension
2025-02-05 05:28:32,444 [main ] INFO  ExtensionLoader - Initializing Parameters Extension - Summarise and analyse FORM and URL parameters as well as cookies
2025-02-05 05:28:32,444 [main ] INFO  ExtensionLoader - Initializing Script Extension - Script integration
2025-02-05 05:28:32,449 [main ] INFO  ExtensionLoader - Initializing ExtensionScripts - Scripting console, supports all JSR 223 scripting languages
2025-02-05 05:28:32,457 [main ] INFO  ExtensionLoader - Initializing Forced User Extension - Forced User Extension
2025-02-05 05:28:32,457 [main ] INFO  ExtensionLoader - Initializing HTTP Sessions Extension - Extension handling HTTP sessions
2025-02-05 05:28:32,459 [main ] INFO  ExtensionLoader - Initializing ExtensionZest - Zest is a specialized scripting language, originally, from Mozilla specifically designed to be used in security tools
2025-02-05 05:28:32,526 [main ] INFO  ExtensionLoader - Initializing ExtensionDiff - ExtensionDiff
2025-02-05 05:28:32,526 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Post Table View Extension - HTTP Panel Post Table View Extension
2025-02-05 05:28:32,527 [main ] INFO  ExtensionLoader - Initializing Encoder Addon - Adds support for scriptable encoders to ZAP.
2025-02-05 05:28:32,527 [main ] INFO  ExtensionLoader - Initializing ExtensionPlugNHack - Simple browser configuration
2025-02-05 05:28:32,527 [main ] INFO  ExtensionLoader - Initializing Session Management Extension - Session Management Extension
2025-02-05 05:28:32,529 [main ] INFO  ExtensionSessionManagement - Loaded session management method types: [Cookie-based Session Management, HTTP Authentication Session Management, Script-based Session Management]
2025-02-05 05:28:32,530 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Form Table View Extension - HTTP Panel Form Table View Extension
2025-02-05 05:28:32,530 [main ] INFO  ExtensionLoader - Initializing WebSockets Support - Capture messages from WebSockets with the ability to set breakpoints.
2025-02-05 05:28:32,541 [main ] INFO  ExtensionLoader - Initializing SOAP/WSDL Support - Allows you to import a WSDL file containing operations which ZAP will access, adding them to the Sites tree.
2025-02-05 05:28:32,541 [main ] INFO  ExtensionLoader - Initializing Core UI Extension - Core UI related functionality.
2025-02-05 05:28:32,542 [main ] INFO  ExtensionLoader - Initializing Authorization Extension - Authorization Extension
2025-02-05 05:28:32,542 [main ] INFO  ExtensionLoader - Initializing Requester - Allows to manually edit and send messages.
2025-02-05 05:28:32,543 [main ] INFO  ExtensionLoader - Initializing AJAX Spider - AJAX Spider, uses Crawljax
2025-02-05 05:28:32,546 [main ] INFO  ExtensionLoader - Initializing WebDriver Provider - Provides WebDrivers to control several browsers using Selenium and includes HtmlUnit browser.
2025-02-05 05:28:32,555 [main ] INFO  ExtensionLoader - Initializing ExtensionAccessControl - Add-on that adds a set of tools for testing access control in web applications.
2025-02-05 05:28:32,556 [main ] INFO  ExtensionLoader - Initializing Refresh Sites Tree Extension - Adds menu item to refresh the Sites tree
2025-02-05 05:28:32,556 [main ] INFO  ExtensionLoader - Initializing Help Extension - ZAP User Guide
2025-02-05 05:28:32,556 [main ] INFO  ExtensionLoader - Initializing Call Home - Handles all of the calls to ZAP services
2025-02-05 05:28:32,557 [main ] INFO  ExtensionLoader - Initializing Network Extension - Provides core networking capabilities.
2025-02-05 05:28:32,574 [main ] INFO  ConnectionOptions - Unsafe SSL/TLS renegotiation disabled.
2025-02-05 05:28:32,575 [main ] INFO  ExtensionLoader - Initializing Extension Configuration Extension - Allows you to configure which extensions are loaded when ZAP starts
2025-02-05 05:28:32,575 [main ] INFO  ExtensionLoader - Initializing Combined HTTP Panels Extension - Combined HTTP Panels Extension
2025-02-05 05:28:32,575 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Hex View Extension - HTTP Panel Hex View Extension
2025-02-05 05:28:32,576 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Image View Extension - HTTP Panel Image View Extension
2025-02-05 05:28:32,576 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Query Table View Extension - HTTP Panel Query Table View Extension
2025-02-05 05:28:32,576 [main ] INFO  ExtensionLoader - Initializing HTTP Panel Syntax Highlighter View Extension - HTTP Panel Syntax Highlighter View Extension
2025-02-05 05:28:32,576 [main ] INFO  ExtensionLoader - Initializing Keyboard Configuration Extension - Adds support for configurable keyboard shortcuts for all of the ZAP menus.
2025-02-05 05:28:32,576 [main ] INFO  ExtensionLoader - Initializing Scanner Rule Configuration Extension - Active and passive rule configuration
2025-02-05 05:28:32,577 [main ] INFO  ExtensionLoader - Initializing Statistics Extension - Statistics
2025-02-05 05:28:32,578 [main ] INFO  ExtensionStats - Start recording in memory stats
2025-02-05 05:28:32,578 [main ] INFO  ExtensionLoader - Initializing Custom Pages Extension - Custom Pages Definition
2025-02-05 05:28:32,579 [main ] INFO  ExtensionLoader - Initializing ExtensionAlertFilters - Context alert rules filter
2025-02-05 05:28:32,580 [main ] INFO  ExtensionLoader - Initializing Alert Filters Automation - Alert Filters Automation Framework Integration
2025-02-05 05:28:32,581 [main ] INFO  ExtensionLoader - Initializing Active Scan Rules - Release status active scan rules
2025-02-05 05:28:32,581 [main ] INFO  ExtensionLoader - Initializing ExtensionAscanRulesBeta - Beta status active scan rules
2025-02-05 05:28:32,581 [main ] INFO  ExtensionLoader - Initializing Authentication Helper - Authentication Helper
2025-02-05 05:28:32,583 [main ] INFO  ExtensionLoader - Initializing AJAX Spider Browser Based Authentication Support - Enables browser based authentication when performing an authenticated AJAX Spider scan.
2025-02-05 05:28:32,584 [main ] INFO  ExtensionLoader - Initializing Automation Framework - Provides functionality to simplify using ZAP in an automated manner
2025-02-05 05:28:32,585 [main ] INFO  ExtensionLoader - Initializing Common Library - A library of shared functionality
2025-02-05 05:28:32,585 [main ] INFO  ExtensionLoader - Initializing Common Library Form Handler - Common Library Form Handler Integration
2025-02-05 05:28:32,585 [main ] INFO  ExtensionLoader - Initializing ExtensionCoreLang - Translations of the core language files
2025-02-05 05:28:32,586 [main ] INFO  ExtensionLoader - Initializing Database Extension - Provides databases and persistence capabilities.
2025-02-05 05:28:32,586 [main ] INFO  ExtensionLoader - Initializing ExtensionDomXSS - DOM XSS Active Scan Rule
2025-02-05 05:28:32,636 [main ] INFO  ExtensionLoader - Initializing Import/Export - Import and Export functionality supporting multiple formats.
2025-02-05 05:28:32,822 [main ] INFO  ExtensionLoader - Initializing Import/Export Automation - Import/Export Automation Framework Integration
2025-02-05 05:28:32,825 [main ] INFO  ExtensionLoader - Initializing ExtensionFormHandler - This extension allows a user to change the default values used for generated content (e.g. spiders, importers).
2025-02-05 05:28:32,827 [main ] INFO  ExtensionLoader - Initializing Advance Fuzzer - Provides the foundation for concrete message types (for example, HTTP, WebSockets) expose fuzzer implementations.
2025-02-05 05:28:32,828 [main ] INFO  ExtensionLoader - Initializing HTTP Fuzzer - Allows to fuzz HTTP messages.
2025-02-05 05:28:32,829 [main ] INFO  ExtensionLoader - Initializing ExtensionGettingStarted - The ZAP Getting Started Guide
2025-02-05 05:28:32,829 [main ] INFO  ExtensionLoader - Initializing GraalVM JavaScript Engine Extension - Provides the GraalVM JavaScript engine for ZAP scripting.
2025-02-05 05:28:32,976 [main ] INFO  ExtensionLoader - Initializing ExtensionGraphQl - Allows you to inspect and attack GraphQL endpoints.
2025-02-05 05:28:32,980 [main ] INFO  ExtensionLoader - Initializing GraphQL Automation - GraphQL Automation Framework Integration
2025-02-05 05:28:32,981 [main ] INFO  ExtensionLoader - Initializing GraphQL Spider - GraphQL Spider Integration
2025-02-05 05:28:32,982 [main ] INFO  ExtensionLoader - Initializing gRPC Support - Allows you to inspect, attack gRPC endpoints, and decode protobuf messages
2025-02-05 05:28:32,983 [main ] INFO  ExtensionLoader - Initializing gRPC Websocket Support - Provides the WebSocket gRPC view and edit features
2025-02-05 05:28:32,983 [main ] INFO  ExtensionLoader - Initializing ExtensionHUD - Heads Up Display
2025-02-05 05:28:33,115 [main ] INFO  ExtensionLoader - Initializing ExtensionHUDlaunch - ExtensionHUDlaunch
2025-02-05 05:28:33,116 [main ] INFO  ExtensionLoader - Initializing Out-of-band Application Security Testing - Adds Out-of-band Application Security Testing functionality.
2025-02-05 05:28:33,118 [main ] INFO  ExtensionLoader - Initializing OAST Scripts - Adds OAST scripts.
2025-02-05 05:28:33,118 [main ] INFO  ExtensionLoader - Initializing ExtensionOnlineMenu - The Online menu links
2025-02-05 05:28:33,119 [main ] INFO  ExtensionLoader - Initializing OpenAPI Import - Allows you to spider and import OpenAPI (Swagger) definitions 
2025-02-05 05:28:33,120 [main ] INFO  ExtensionLoader - Initializing OpenAPI Automation - OpenAPI Automation Framework Integration
2025-02-05 05:28:33,121 [main ] INFO  ExtensionLoader - Initializing OpenAPI Spider - OpenAPI Spider Integration
2025-02-05 05:28:33,123 [main ] INFO  ExtensionLoader - Initializing Client Message Editor - Provides the Client Message Editor dialogue.
2025-02-05 05:28:33,123 [main ] INFO  ExtensionLoader - Initializing Postman Import - Allows you to spider and import Postman collections
2025-02-05 05:28:33,123 [main ] INFO  ExtensionLoader - Initializing Postman Automation - Postman Automation Framework Integration
2025-02-05 05:28:33,124 [main ] INFO  ExtensionLoader - Initializing Passive Scanner Extension - Provides core passive scanning capabilities.
2025-02-05 05:28:33,125 [main ] INFO  ExtensionLoader - Initializing Passive Scanner Automation Framework Extension - Provides jobs and result data related to the passive scanner.
2025-02-05 05:28:33,126 [main ] INFO  ExtensionLoader - Initializing Passive Scan Rules - Release status passive scan rules.
2025-02-05 05:28:33,126 [main ] INFO  ExtensionLoader - Initializing Passive Scan Rules - beta. - Beta status passive scan rules
2025-02-05 05:28:33,126 [main ] INFO  ExtensionLoader - Initializing Quick Start panel  - Adds the Quick Start panel for scanning and exploring applications
